model,data_path,log_path,lr,batch_size,epoch,factors,drop_ratio,num_layers,best_acc,best_acc_auc,best_auc,best_auc_acc,best_acc_epoch,test_acc_on_best_acc_model,test_auc_on_best_acc_model,tp_acc,fp_acc,tn_acc,fn_acc,precision_acc,recall_acc,specificity_acc,f1_acc,mcc_acc,test_acc_on_best_auc_model,test_auc_on_best_auc_model,tp_auc,fp_auc,tn_auc,fn_auc,precision_auc,recall_auc,specificity_auc,f1_auc,mcc_auc,test_acc_on_bestacc_model,test_auc_on_bestacc_model,test_acc_on_bestauc_model,test_auc_on_bestauc_model
Transformer,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/data/36/mimic3_smote_36.csv,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/model2/logs/Transformer_Exp1_factors36_lr0.0005_bs5000_epoch1000_20250426-023651,0.0005,5000,1000,36,0.1,2,0.8889859914779663,0.9317982409210552,0.942293406052528,0.8793706297874451,994,0.0,0.0,535,81,482,46,0.8685064935064936,0.9208261617900172,0.8561278863232682,0.8939014202172098,0.7791665146221525,0.0,0.0,540,97,466,41,0.847723704866562,0.9294320137693632,0.827708703374778,0.8866995073891626,0.7619828028408406,0.888986013986014,0.9317982409210552,0.8793706293706294,0.942293406052528
Transformer,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/data/36/mimic4_smote_36.csv,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/model2/logs/Transformer_Exp1_factors36_lr0.0005_bs5000_epoch1000_20250426-024019,0.0005,5000,1000,36,0.1,2,0.8500000238418579,0.9088784448314722,0.9123211419594986,0.8448453545570374,982,0.0,0.0,968,227,681,64,0.8100418410041841,0.937984496124031,0.75,0.8693309384822632,0.7058287355970578,0.0,0.0,958,227,681,74,0.8084388185654009,0.9282945736434108,0.75,0.8642309427153811,0.6941741939199837,0.85,0.908878444831472,0.8448453608247423,0.912320608373459
Transformer,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/data/36/mimic4_smote_36.csv,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/model2/logs/Transformer_Exp1_factors36_lr0.0005_bs5000_epoch1200_20250426-024919,0.0005,5000,1200,36,0.1,2,0.8659793734550476,0.919958892531503,0.9206290765973432,0.8541237115859985,1161,0.0,0.0,970,198,710,62,0.8304794520547946,0.939922480620155,0.7819383259911894,0.8818181818181818,0.7358785836804334,0.0,0.0,983,234,674,49,0.8077239112571898,0.9525193798449612,0.7422907488986784,0.8741662961316141,0.7170252935792353,0.865979381443299,0.919958892531503,0.8541237113402061,0.9206285430113036
Transformer,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/data/8/mimic3_eICU_smote_8.csv,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/model2/logs/Transformer_Exp1_factors8_lr0.001_bs5000_epoch1400_20250426-041417,0.001,5000,1400,8,0.1,2,0.7995746731758118,0.8615885884417527,0.8617519530979507,0.7937267422676086,1384,0.0,0.0,1650,515,1358,239,0.7621247113163973,0.8734780307040763,0.7250400427122263,0.8140108534780464,0.6054534085985517,0.0,0.0,1580,467,1406,309,0.7718612603810454,0.8364213869772367,0.7506673785371063,0.8028455284552846,0.5893830664089632,0.7995746943115364,0.8615885884417527,0.7937267410951622,0.8617519530979507
Transformer,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/data/8/local_smote_8.csv,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/model2/logs/Transformer_Exp1_factors8_lr0.0001_bs5000_epoch1400_20250426-044644,0.0001,5000,1400,8,0.1,2,0.7165775299072266,0.7181609195402299,0.7432183908045977,0.7005347609519958,1226,0.0,0.0,73,26,61,27,0.7373737373737373,0.73,0.7011494252873564,0.7336683417085427,0.4308523881006768,0.0,0.0,72,28,59,28,0.72,0.72,0.6781609195402298,0.72,0.3981609195402298,0.7165775401069518,0.7181609195402299,0.7005347593582888,0.7432183908045977
Transformer,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/data/8/local-smote.csv,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/model2/logs/Transformer_Exp1_factors8_lr0.0001_bs5000_epoch5000_20250426-044929,0.0001,5000,5000,8,0.1,2,0.7897727489471436,0.7895709570957096,0.8158415841584159,0.7840909361839294,4613,0.0,0.0,88,24,51,13,0.7857142857142857,0.8712871287128713,0.68,0.8262910798122066,0.5667221316838713,0.0,0.0,88,25,50,13,0.7787610619469026,0.8712871287128713,0.6666666666666666,0.822429906542056,0.5549154262038718,0.7897727272727273,0.7895709570957096,0.7840909090909091,0.8158415841584159
Transformer,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/data/8/local_smote_8.csv,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/model2/logs/Transformer_Exp1_factors8_lr0.0001_bs5000_epoch7000_20250426-045749,0.0001,5000,7000,8,0.1,2,0.7379679083824158,0.7425287356321839,0.7644827586206895,0.6684492230415344,2000,0.0,0.0,77,26,61,23,0.7475728155339806,0.77,0.7011494252873564,0.7586206896551724,0.4724545508493107,0.0,0.0,68,30,57,32,0.6938775510204082,0.68,0.6551724137931034,0.686868686868687,0.3347494346133213,0.7379679144385026,0.7425287356321839,0.6684491978609626,0.7644827586206895
Transformer,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/data/36/mimic3_smote_36.csv,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/model2/logs/Transformer_Exp1_factors36_lr0.0005_bs5000_epoch1000_20250426-113118,0.0005,5000,1000,36,0.1,2,0.8889859914779663,0.9317982409210552,0.942293406052528,0.8793706297874451,994,0.0,0.0,535,81,482,46,0.8685064935064936,0.9208261617900172,0.8561278863232682,0.8939014202172098,0.7791665146221525,0.0,0.0,540,97,466,41,0.847723704866562,0.9294320137693632,0.827708703374778,0.8866995073891626,0.7619828028408406,0.888986013986014,0.9317982409210552,0.8793706293706294,0.942293406052528
Transformer,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/data/36/mimic4_smote_36.csv,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/model2/logs/Transformer_Exp1_factors36_lr0.0005_bs5000_epoch1200_20250426-113119,0.0005,5000,1200,36,0.1,2,0.8659793734550476,0.919958892531503,0.9206290765973432,0.8541237115859985,1161,0.0,0.0,970,198,710,62,0.8304794520547946,0.939922480620155,0.7819383259911894,0.8818181818181818,0.7358785836804334,0.0,0.0,983,234,674,49,0.8077239112571898,0.9525193798449612,0.7422907488986784,0.8741662961316141,0.7170252935792353,0.865979381443299,0.919958892531503,0.8541237113402061,0.9206285430113036
Transformer,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/data/8/mimic3_eICU_smote_8.csv,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/model2/logs/Transformer_Exp1_factors8_lr0.001_bs5000_epoch1400_20250426-113119,0.001,5000,1400,8,0.1,2,0.7995746731758118,0.8615885884417527,0.8617519530979507,0.7937267422676086,1384,0.0,0.0,1650,515,1358,239,0.7621247113163973,0.8734780307040763,0.7250400427122263,0.8140108534780464,0.6054534085985517,0.0,0.0,1580,467,1406,309,0.7718612603810454,0.8364213869772367,0.7506673785371063,0.8028455284552846,0.5893830664089632,0.7995746943115364,0.8615885884417527,0.7937267410951622,0.8617519530979507
Transformer,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/data/8/local-smote.csv,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/model2/logs/Transformer_Exp1_factors8_lr0.0005_bs5000_epoch2600_20250426-120122,0.0005,5000,2600,8,0.1,2,0.8238636255264282,0.8446204620462046,0.857029702970297,0.7954545617103577,2411,0.0,0.0,94,24,51,7,0.7966101694915254,0.9306930693069309,0.68,0.858447488584475,0.6424795510341612,0.0,0.0,95,30,45,6,0.76,0.9405940594059404,0.6,0.8407079646017699,0.5892810738874392,0.8238636363636364,0.8446204620462046,0.7954545454545454,0.857029702970297
Transformer,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/data/8/mimic4_smote_8.csv,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/model2/logs/Transformer_Exp1_factors8_lr0.001_bs5000_epoch450_20250426-120329,0.001,5000,450,8,0.1,2,0.8206185698509216,0.8618118874432265,0.8643218761738892,0.7927834987640381,445,0.0,0.0,945,261,647,87,0.7835820895522388,0.9156976744186046,0.7125550660792952,0.8445040214477212,0.6463912676419881,0.0,0.0,956,326,582,76,0.7457098283931357,0.9263565891472868,0.6409691629955947,0.8262748487467588,0.5979409692467813,0.8206185567010309,0.8618113538571868,0.7927835051546391,0.8643218761738892
